subject,topic,difficulty,isPYQ,pyqYear,questionText,optionA,optionB,optionC,optionD,correctOption,solution
Analog Electronics,Oscillators,Medium,false,,The Barkhausen criterion for oscillation requires loop gain equal to,0,Less than 1,1,Greater than 1,C,For sustained oscillations the Barkhausen criterion states that the loop gain must be exactly equal to 1 and the total phase shift must be 0 or 360 degrees.
Analog Electronics,Power Amplifiers,Easy,false,,A Class A power amplifier has a maximum theoretical efficiency of,25%,50%,78.5%,100%,B,Class A amplifiers have a maximum theoretical efficiency of 50% when transformer-coupled and 25% when directly coupled.
Analog Electronics,Filters,Medium,false,,A low-pass filter allows frequencies,Above cutoff,Below cutoff,Equal to cutoff only,None,B,A low-pass filter passes all frequencies below the cutoff frequency and attenuates frequencies above it.
Digital Electronics,Logic Gates,Easy,false,,The output of an AND gate is HIGH only when,Any input is HIGH,All inputs are HIGH,All inputs are LOW,Any input is LOW,B,An AND gate produces a HIGH output only when ALL of its inputs are HIGH. If any input is LOW the output is LOW.
Digital Electronics,Logic Gates,Easy,false,,How many inputs does a NOT gate have?,0,1,2,4,B,A NOT gate (inverter) has exactly one input. It simply inverts the input: if input is 1 output is 0 and vice versa.
Digital Electronics,Logic Gates,Easy,false,,The output of an XOR gate with inputs A=1 and B=1 is,0,1,Undefined,High impedance,A,XOR gives output 1 only when inputs are different. When both inputs are 1 (same) the output is 0.
Digital Electronics,Number Systems,Easy,false,,The binary equivalent of decimal 10 is,1000,1010,1100,1001,B,To convert decimal 10 to binary: 10/2=5 R0 then 5/2=2 R1 then 2/2=1 R0 then 1/2=0 R1. Reading remainders bottom-up gives 1010.
Digital Electronics,Number Systems,Medium,false,,The hexadecimal equivalent of binary 11111111 is,EF,FF,FE,F0,B,Splitting 11111111 into nibbles: 1111 = F and 1111 = F. So the hex equivalent is FF which equals 255 in decimal.
Digital Electronics,Combinational Circuits,Easy,false,,A half adder has how many outputs?,1,2,3,4,B,A half adder has two outputs: Sum (S = A XOR B) and Carry (C = A AND B).
Digital Electronics,Combinational Circuits,Medium,true,2021,An 8-to-1 multiplexer requires how many select lines?,2,3,4,8,B,An 8-to-1 MUX has 8 input lines = 2^3 so it needs 3 select lines to choose one of the 8 inputs.
Digital Electronics,Flip-Flops,Easy,false,,Which flip-flop is known as the delay flip-flop?,SR,JK,D,T,C,The D flip-flop is called the delay flip-flop because the output Q follows the input D after one clock cycle delay.
Digital Electronics,Flip-Flops,Medium,false,,A T flip-flop with T=1 behaves as a,Latch,Frequency divider,Buffer,Multiplexer,B,When T=1 the T flip-flop toggles on every clock edge effectively dividing the clock frequency by 2.
Digital Electronics,Counters,Medium,false,,A 4-bit binary counter can count from,0 to 8,0 to 15,0 to 16,1 to 16,B,A 4-bit counter has 2^4 = 16 states and counts from 0 to 15 (0000 to 1111 in binary).
Digital Electronics,Boolean Algebra,Easy,false,,According to De Morgan's theorem (A+B)' equals,A'.B',A'+B',A.B,A+B,A,De Morgan's first theorem states that the complement of a sum equals the product of the complements: (A+B)' = A'.B'.
Digital Electronics,Boolean Algebra,Medium,false,,The simplified form of A.B + A.B' is,A,B,A+B,0,A,Using the complement law: A.B + A.B' = A.(B + B') = A.1 = A. This is a fundamental Boolean simplification.
Network Theory,Ohm's Law,Easy,false,,If voltage is 12V and resistance is 4 ohms then current is,2A,3A,4A,48A,B,By Ohm's Law I = V/R = 12/4 = 3 Amperes.
Network Theory,KVL and KCL,Easy,false,,Kirchhoff's Voltage Law states that the sum of voltages around a closed loop is,Maximum,Minimum,Zero,Infinite,C,KVL states that the algebraic sum of all voltages around any closed loop in a circuit is equal to zero.
Network Theory,KVL and KCL,Medium,true,2020,KCL is based on the law of conservation of,Energy,Charge,Momentum,Mass,B,Kirchhoff's Current Law is based on conservation of charge. The total current entering a node must equal the total current leaving it.
Network Theory,Thevenin Theorem,Medium,false,,Thevenin equivalent circuit consists of,Voltage source in parallel with resistance,Voltage source in series with resistance,Current source in series with resistance,Two voltage sources,B,Thevenin's theorem states that any linear circuit can be replaced by an equivalent voltage source (Vth) in series with a resistance (Rth).
Network Theory,Norton Theorem,Medium,false,,Norton equivalent circuit consists of,Voltage source in series with resistance,Current source in parallel with resistance,Current source in series with resistance,Two resistors,B,Norton's theorem replaces a circuit with an equivalent current source (In) in parallel with a resistance (Rn).
Network Theory,Superposition,Medium,false,,The superposition theorem is applicable only to,Non-linear circuits,Linear circuits,Circuits with one source,Power calculations,B,Superposition theorem applies only to linear circuits. It states that the response in any element is the sum of responses caused by each independent source acting alone.
Network Theory,Power,Easy,false,,The unit of electrical power is,Joule,Volt,Watt,Ampere,C,Electrical power is measured in Watts (W). Power = Voltage x Current (P = VI).
Network Theory,Resonance,Medium,true,2019,At resonance in a series RLC circuit the impedance is,Maximum,Minimum and equal to R,Zero,Equal to XL,B,At resonance XL = XC so they cancel out. The impedance Z = R (purely resistive and minimum) allowing maximum current flow.
Network Theory,AC Circuits,Easy,false,,The frequency of AC mains supply in India is,50 Hz,60 Hz,100 Hz,220 Hz,A,The standard AC mains frequency in India is 50 Hz. In the USA it is 60 Hz.
Network Theory,AC Circuits,Medium,false,,The RMS value of a sinusoidal voltage with peak value Vm is,Vm,Vm/2,Vm/sqrt(2),2Vm,C,The RMS (Root Mean Square) value of a sinusoidal waveform is Vm divided by square root of 2 which is approximately 0.707 times the peak value.
Network Theory,Transformers,Easy,false,,A transformer works on the principle of,Self induction,Mutual induction,Ohm's law,Coulomb's law,B,A transformer works on the principle of mutual electromagnetic induction between two coils sharing a common magnetic flux.
Signals and Systems,Signal Classification,Easy,false,,A signal x(t) is even if,x(-t) = x(t),x(-t) = -x(t),x(t) = 0,x(t) = 1,A,An even signal satisfies the condition x(-t) = x(t). It is symmetric about the vertical axis. Examples include cos(t).
Signals and Systems,Signal Classification,Easy,false,,A discrete-time signal is defined at,All time instants,Only at integer values of time,Only positive time,Only negative time,B,A discrete-time signal is defined only at discrete instants of time typically at integer values of n.
Signals and Systems,LTI Systems,Medium,false,,The output of an LTI system is obtained by,Addition of input and impulse response,Convolution of input with impulse response,Multiplication of input and impulse response,Differentiation,B,For a Linear Time-Invariant system the output y(t) = x(t) * h(t) where * denotes convolution of the input x(t) with the impulse response h(t).
Signals and Systems,LTI Systems,Easy,false,,A system is time-invariant if,Its parameters change with time,A time shift in input causes same time shift in output,It has no memory,It is nonlinear,B,A time-invariant system produces the same output shape regardless of when the input is applied. A delay in input causes an identical delay in output.
Signals and Systems,Laplace Transform,Medium,true,2023,The Laplace transform of e^(-at).u(t) is,1/(s+a),1/(s-a),s/(s+a),a/(s+a),A,The Laplace transform of e^(-at).u(t) is 1/(s+a) for Re(s) > -a. This is a standard transform pair.
Signals and Systems,Laplace Transform,Medium,false,,The Laplace transform of the unit step function u(t) is,1,1/s,s,1/s^2,B,The Laplace transform of u(t) = integral from 0 to infinity of e^(-st) dt = 1/s for Re(s) > 0.
Signals and Systems,Fourier Series,Medium,false,,A periodic signal can be represented using,Laplace Transform,Fourier Series,Z-Transform,None,B,A periodic signal can be decomposed into a sum of harmonically related sinusoids using the Fourier Series representation.
Signals and Systems,Fourier Series,Easy,false,,The Fourier series of an even function contains only,Sine terms,Cosine terms,Both sine and cosine,Neither,B,An even function has symmetry about the y-axis. Its Fourier series contains only cosine terms (and possibly a DC component) since cosine is itself an even function.
Signals and Systems,Z-Transform,Medium,false,,The Z-transform is used for analysis of,Continuous-time signals,Discrete-time signals,Both,Neither,B,The Z-transform is the discrete-time counterpart of the Laplace transform and is used for analyzing discrete-time signals and systems.
Signals and Systems,Sampling,Medium,true,2022,According to Nyquist theorem the sampling frequency must be at least,Equal to signal frequency,Twice the maximum signal frequency,Half the signal frequency,Four times the signal frequency,B,The Nyquist-Shannon sampling theorem states that to avoid aliasing the sampling rate must be at least twice the highest frequency component in the signal.
Signals and Systems,Sampling,Easy,false,,Aliasing occurs when,Sampling rate is too high,Sampling rate is below Nyquist rate,Signal amplitude is too high,Signal is periodic,B,Aliasing occurs when the sampling frequency is less than twice the maximum frequency of the signal causing frequency components to overlap.
Signals and Systems,Convolution,Medium,false,,Convolution in time domain is equivalent to what in frequency domain?,Convolution,Addition,Multiplication,Division,C,One of the key properties of Fourier transforms is that convolution in the time domain corresponds to multiplication in the frequency domain.
Signals and Systems,Stability,Easy,false,,A causal LTI system is BIBO stable if,All poles are in the right half of s-plane,All poles are in the left half of s-plane,All poles are on the imaginary axis,Poles can be anywhere,B,A causal LTI system is Bounded-Input Bounded-Output stable if and only if all poles of its transfer function lie in the left half of the s-plane (negative real parts).
Signals and Systems,Stability,Medium,false,,The impulse response of a stable system must be,Absolutely integrable,Square integrable,Always positive,Always finite,A,For BIBO stability the impulse response h(t) must be absolutely integrable i.e. the integral of |h(t)| from -infinity to infinity must be finite.
